rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/advantages,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/returns,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction
96.46,62,225,562,126976,-22.78912624,1.5616279916837812,-0.004058569669723511,0.2,0.0003,0.7177146673202515,610,-12.342599868774414,-0.010289459548221202,0.8651898503303528,-3.8199206687510014,0.0081672,0.6504752039909363,0.0759765625
95.73,63,229,562,129024,-23.039391570000003,1.1303747676312923,-0.18945369124412537,0.2,0.0003,0.7642616480588913,620,-12.545412063598633,-0.00990473325473431,0.8633025288581848,-3.8039675422012804,0.011076654,0.3264210820198059,0.093359375
92.31,64,233,562,131072,-22.627189199999997,0.8535079093649983,-0.29595139622688293,0.2,0.0003,0.8304727673530579,630,-12.862213134765625,-0.011352273404190783,0.8653056621551514,-3.7975153349339963,0.009835878,0.1771158128976822,0.08154296875
92.54,65,236,562,133120,-22.436009440000003,0.816242360137403,-0.31366080045700073,0.2,0.0003,0.8568008542060852,640,-13.444585800170898,-0.010759478562977164,0.8600079417228699,-3.7942194871604444,0.0096401265,0.40958479046821594,0.083740234375
95.4,66,240,562,135168,-23.384907620000007,1.1721197408623993,-0.43678563833236694,0.2,0.0003,0.8119775205850601,650,-13.554186820983887,-0.013071508312714286,0.8622952103614807,-3.7854481503367423,0.008919172,0.4111049175262451,0.087939453125
97.09,67,243,563,137216,-23.940807139999997,1.9521771552041174,-0.1867094337940216,0.2,0.0003,0.5360221564769745,660,-13.976621627807617,-0.013774773877230473,0.8650851249694824,-3.792110225558281,0.006927072,0.3254031240940094,0.065673828125
99.62,68,247,563,139264,-24.14999239,1.3668588932603598,0.046856895089149475,0.2,0.0003,0.7792192846536636,670,-12.472384452819824,-0.013842870488588233,0.8685116171836853,-3.803538888692856,0.009440016,0.45586395263671875,0.114111328125
103.02,69,250,563,141312,-24.55443089,0.9706378823146224,-0.12756913900375366,0.2,0.0003,0.8234266638755798,680,-13.181296348571777,-0.012590234423259971,0.8656865954399109,-3.8051058903336523,0.009106151,0.328138530254364,0.0814453125
103.71,70,254,563,143360,-24.588019409999998,0.9793991687707603,0.06724905222654343,0.2,0.0003,0.8192781507968903,690,-13.058371543884277,-0.014475498568208423,0.8667590022087097,-3.8001580446958543,0.009453292,0.2670731544494629,0.10458984375
103.14,71,257,563,145408,-23.735503629999997,1.070957562699914,-0.1164436861872673,0.2,0.0003,0.8435547947883606,700,-13.2584867477417,-0.010781991892145015,0.868725061416626,-3.8039375521242618,0.006204604,0.3052809238433838,0.074072265625
103.21,72,261,563,147456,-23.309853110000002,0.9384609984233976,0.42065346240997314,0.2,0.0003,0.8054094612598419,710,-12.695125579833984,-0.013171488375519402,0.8697134852409363,-3.8103463150560857,0.008750249,0.27631545066833496,0.083837890625
105.22,73,265,564,149504,-23.19197067,0.9145773910917342,0.008205689489841461,0.2,0.0003,0.8405411094427109,720,-12.90512752532959,-0.01181276230054209,0.8696014881134033,-3.8087172083556653,0.008799192,0.2623457610607147,0.09658203125
105.78,74,268,564,151552,-23.15770231,0.6072858242318034,0.1785060614347458,0.2,0.0003,0.8337371349334717,730,-11.913596153259277,-0.00964265866932692,0.8609010577201843,-3.7880210138857366,0.009372929,0.24746476113796234,0.1060546875
106.04,75,272,564,153600,-22.87287401,0.9833862455561757,0.08491052687168121,0.2,0.0003,0.7420308291912079,740,-12.521059036254883,-0.013551281920808834,0.8627829551696777,-3.7769791461527347,0.008614203,0.29958006739616394,0.083056640625
108.52,76,275,564,155648,-22.70240683,0.9945391065441072,-0.10477003455162048,0.2,0.0003,0.7814891934394836,750,-12.280133247375488,-0.01293484744237503,0.8702073097229004,-3.7919574834406378,0.010619151,0.26900947093963623,0.08984375
111.69,77,279,564,157696,-23.264614729999998,0.7800880049355328,-0.004077628254890442,0.2,0.0003,0.846685916185379,760,-12.157180786132812,-0.010861024496261962,0.8730160593986511,-3.8072007812559603,0.007661436,0.3352236747741699,0.086669921875
111.57,78,282,565,159744,-23.457656510000007,0.9745477900840342,-0.2969331741333008,0.2,0.0003,0.8510492295026779,770,-13.363448143005371,-0.01553193475556327,0.8715513348579407,-3.799617290496826,0.01007407,0.5722046494483948,0.10546875
110.66,79,286,565,161792,-23.602658450000003,1.061340801883489,-0.02644548937678337,0.2,0.0003,0.8324694633483887,780,-12.37228775024414,-0.01159335778647801,0.8624744415283203,-3.776265744864941,0.009049693,0.35546714067459106,0.090771484375
111.68,80,289,565,163840,-23.715098960000006,0.9278493579477072,-0.20609086751937866,0.2,0.0003,0.8019053637981415,790,-12.757883071899414,-0.012292446566425497,0.8579218983650208,-3.755849952250719,0.009678207,0.17951318621635437,0.085107421875
117.74,81,293,565,165888,-28.620994349999997,0.8961887382902205,-0.08352476358413696,0.2,0.0003,0.8582170903682709,800,-13.457015037536621,-0.011286830573226325,0.8546996116638184,-3.7478435382246973,0.0070527405,0.3745839297771454,0.075244140625
115.89,82,296,565,167936,-28.979822770000006,8.181053289584815,-3.1230485439300537,0.2,0.0003,-0.8864048719406128,810,-14.85753059387207,-0.006759132762090303,0.8581158518791199,-3.748883693665266,0.0068934197,2.472684621810913,0.05712890625
113.39,83,300,565,169984,-28.52729377,1.0814665098674596,0.3382187783718109,0.2,0.0003,0.8270208239555359,820,-12.535829544067383,-0.01091307317110477,0.8522343039512634,-3.744607800990343,0.00994903,0.22289079427719116,0.0908203125
114.47,84,303,566,172032,-28.71142869,1.3150465607643127,-0.012396533042192459,0.2,0.0003,0.8221690803766251,830,-13.003995895385742,-0.010854394938360202,0.8526077270507812,-3.732406811416149,0.0070335544,0.4874168634414673,0.089794921875
113.25,85,307,566,174080,-28.797084859999995,1.3930661907419561,-0.38906440138816833,0.2,0.0003,0.7534613460302353,840,-13.861656188964844,-0.015876569856482094,0.8478240370750427,-3.720742528140545,0.008618463,0.28296834230422974,0.095703125
