time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/advantages,train/std,train/entropy_loss,train/loss,train/returns,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
589824,8164,72,288,-3.11136576,102.0,-0.008175321359885857,0.0,0.022620584815740585,0.4349927604198456,-2.3358337827026845,0.052723467350006104,-0.8511118292808533,0.11558368366677314,0.2,2870,0.015393766,0.0003,0.190966796875
591872,8192,72,289,-3.0955382599999997,102.0,-0.006399533490912291,0.0,0.017100585624575615,0.4327985644340515,-2.3165729612112047,0.051111478358507156,-0.8552892804145813,0.11023739032680169,0.2,2880,0.013483467,0.0003,0.17041015625
593920,8219,72,290,-3.0662581200000005,102.0,-0.003405766308424063,0.0,-0.04672367870807648,0.43095558881759644,-2.3017277874052526,0.05607334151864052,-0.8966382145881653,0.10280158349778504,0.2,2890,0.012449486,0.0003,0.162109375
595968,8248,72,291,-3.0389202,102.0,-0.003003333162632771,0.0,0.039588700979948044,0.43335044384002686,-2.306597898155451,0.08611832559108734,-0.7855576276779175,0.10143766922992654,0.2,2900,0.011765776,0.0003,0.152880859375
598016,8275,72,292,-3.0399187800000003,102.0,-0.0072464122626115565,0.0,0.035864487290382385,0.4315633773803711,-2.3100609980523585,0.039843469858169556,-0.7479721307754517,0.10051807810086757,0.2,2910,0.013035411,0.0003,0.1658203125
600064,8303,72,293,-3.0343593300000005,102.0,-0.002335896286240313,5.960464477539063e-08,0.046348873525857925,0.42666125297546387,-2.276098457723856,0.0665554478764534,-0.7398901581764221,0.10158692685654387,0.2,2920,0.013134519,0.0003,0.17900390625
602112,8332,72,294,-3.027531130000001,102.0,-0.00494743344024755,0.0,0.00034003332257270813,0.4266830086708069,-2.2598992623388767,0.0813579112291336,-0.7536531090736389,0.09211690115043894,0.2,2930,0.013741234,0.0003,0.190234375
604160,8360,72,295,-3.03576777,102.0,-0.003105900643276982,-1.1920928955078125e-07,-0.07783684134483337,0.42967796325683594,-2.2716079376637937,0.06498831510543823,-0.8354098796844482,0.09105390096083284,0.2,2940,0.010007804,0.0003,0.1486328125
606208,8388,72,296,-3.0319181100000003,102.0,-0.00801085269486066,0.0,-0.02845849096775055,0.4251844584941864,-2.2614673644304277,0.05767316371202469,-0.7916589975357056,0.09938417067751289,0.2,2950,0.015022702,0.0003,0.182861328125
608256,8416,72,297,-3.0025716599999996,102.0,-0.003651911558699794,0.0,0.020920846611261368,0.42282500863075256,-2.2300554662942886,0.02924894168972969,-0.7648990154266357,0.09584726960165427,0.2,2960,0.016862286,0.0003,0.176513671875
