rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/advantages,train/loss,train/std,train/clip_fraction,train/returns,train/entropy_loss,train/explained_variance
-2.09952695,91,102.0,2505,186368,74,-0.008967584680067375,0.045633090690535026,900,0.0003,0.2,0.02490303,0.03546052798628807,-0.02249538153409958,0.45143944025039673,0.147314453125,-0.3113478422164917,-2.437233877927065,-6.198883056640625e-06
-2.10469359,92,102.0,2532,188416,74,-0.006497942991700256,0.0419142212413135,910,0.0003,0.2,0.01435975,0.05898567661643028,-0.00013017375022172928,0.4519078731536865,0.157373046875,-0.284789115190506,-2.423007094115019,-6.198883056640625e-06
-2.1069039800000002,93,102.0,2560,190464,74,-0.008357690758566605,0.042908317901310514,920,0.0003,0.2,0.0132077,0.00839672889560461,0.07467301189899445,0.45133352279663086,0.151220703125,-0.3183843195438385,-2.416233140975237,-6.318092346191406e-06
-2.07439208,94,102.0,2587,192512,74,-0.002566618382115848,0.03958083725301549,930,0.0003,0.2,0.010348571,0.02115837298333645,-0.0011315878946334124,0.4534778594970703,0.12041015625,-0.3286660611629486,-2.419277162849903,-6.079673767089844e-06
-2.0575281999999997,95,102.0,2615,194560,74,-0.006572505967051256,0.037431643076706676,940,0.0003,0.2,0.01411512,0.014449617825448513,-0.01276884600520134,0.456085741519928,0.1203125,-0.34353992342948914,-2.442652464658022,-6.556510925292969e-06
-2.07597646,96,102.0,2642,196608,74,-0.003273901929787826,0.03992963172495365,950,0.0003,0.2,0.010420675,-0.020139804109930992,0.06420381367206573,0.45590439438819885,0.160546875,-0.3759750723838806,-2.447167819738388,-6.079673767089844e-06
-2.06340308,97,102.0,2670,198656,74,-0.00498834487516433,0.04294961419218453,960,0.0003,0.2,0.020743255,0.022545747458934784,-0.010326268151402473,0.45224326848983765,0.172900390625,-0.2896864116191864,-2.425617817789316,-6.318092346191406e-06
-2.05847289,98,102.0,2697,200704,74,-0.00583095103938831,0.039394349936628714,970,0.0003,0.2,0.0150041785,0.004636622034013271,0.05635125935077667,0.44693249464035034,0.15634765625,-0.29125162959098816,-2.378927130252123,-5.602836608886719e-06
-2.07190569,99,102.0,2725,202752,74,-0.00954921694647055,0.037608899181941526,980,0.0003,0.2,0.01637907,0.02595718577504158,-0.006499050185084343,0.4425863027572632,0.16572265625,-0.23657706379890442,-2.3392653785645963,-5.364418029785156e-06
-2.09293185,100,102.0,2752,204800,74,-0.001053026336012408,0.0386688410428178,990,0.0003,0.2,0.015357381,-0.010374699719250202,0.005260409787297249,0.4366809129714966,0.1220703125,-0.3127879500389099,-2.2972567744553087,-5.0067901611328125e-06
-2.08247066,101,102.0,2780,206848,74,-0.00839002341563173,0.04404083228146192,1000,0.0003,0.2,0.024534348,0.0099728312343359,0.01225666981190443,0.4304194152355194,0.186767578125,-0.2891616225242615,-2.2406803645193576,-5.4836273193359375e-06
-2.07220992,102,102.0,2808,208896,74,-0.010230179542850238,0.04384061759337783,1010,0.0003,0.2,0.01779947,-0.07342109829187393,0.02201015129685402,0.4274823069572449,0.179638671875,-0.4116423726081848,-2.1962293915450575,-5.602836608886719e-06
-2.0549148,103,102.0,2835,210944,74,-0.00203965742548462,0.04001881950971438,1020,0.0003,0.2,0.017351855,0.008608037605881691,0.011680889874696732,0.4217354655265808,0.14775390625,-0.3353881239891052,-2.159546888619661,-5.364418029785156e-06
-2.0652177600000003,104,102.0,2863,212992,74,-0.009079875799216097,0.03874758084639325,1030,0.0003,0.2,0.015354144,0.032040469348430634,0.0009415452368557453,0.418923020362854,0.15185546875,-0.284980833530426,-2.1229893870651724,-5.4836273193359375e-06
-2.06284311,105,102.0,2890,215040,74,-0.0051117351569700984,0.04500043280495447,1040,0.0003,0.2,0.01824909,0.03139067441225052,0.006334393285214901,0.416683167219162,0.172021484375,-0.28411516547203064,-2.098882922530174,-5.364418029785156e-06
-2.0096735900000002,106,102.0,2917,217088,74,-0.008406166173517703,0.045399896227172575,1050,0.0003,0.2,0.031420834,0.010488174855709076,-0.003776734694838524,0.4113630950450897,0.17109375,-0.29346221685409546,-2.0637202203273772,-5.602836608886719e-06
-2.01299334,107,102.0,2945,219136,74,-0.010891910447389819,0.03157755410138634,1060,0.0003,0.2,0.030433673,-0.008684243075549603,0.0027907472103834152,0.40978267788887024,0.15986328125,-0.27132225036621094,-2.0303622767329217,-5.364418029785156e-06
-2.0236133899999995,108,102.0,2972,221184,74,-0.004633188438310754,0.04095077600941295,1070,0.0003,0.2,0.017259154,-0.035404644906520844,0.02119588479399681,0.4071198105812073,0.1677734375,-0.3094698190689087,-2.006756169721484,-5.245208740234375e-06
-2.05370964,109,102.0,3000,223232,74,-0.0054222732462221755,0.03859059296009946,1080,0.0003,0.2,0.020628382,-0.021185506135225296,0.0033510271459817886,0.40233877301216125,0.20078125,-0.28473034501075745,-1.9686041109263896,-5.364418029785156e-06
-2.0902866,110,102.0,3027,225280,74,-0.013446463497530203,0.05332723831816111,1090,0.0003,0.2,0.02479108,-0.04026711359620094,0.02849995158612728,0.39843133091926575,0.182421875,-0.31388014554977417,-1.9217783618718385,-4.887580871582031e-06
-2.11758926,111,102.0,3055,227328,74,-0.015427374699356733,0.0548471328074811,1100,0.0003,0.2,0.03575962,-0.07904518395662308,0.03905466943979263,0.3957398533821106,0.183349609375,-0.37916263937950134,-1.8741841472685337,-5.245208740234375e-06
